"ID","Player","Team","Position","Prim Pos","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","TK/GV","Cor"
"*02un5*","Sam Reinhart","FLA","F","F","133","nebsnave","30","10,700,000","BID","66.54","98%","-1%","64","0","29","32","90","10","166","29","59","40","0.29","68"
"*03rgh*","Parker Wotherspoon","PIT","D","D","135","mcianfra","28","1,000,000","FA","66.11","29%","0%","78","29","3","26","32","55","69","2","160","109","0.23","73"
"*02ybn*","Josh Morrissey","WPG","D","D","136","HeatDady","31","5,100,000","BID","65.88","98%","-1%","71","52","13","39","65","26","131","14","32","109","0.17","-37"
"*04y4m*","Connor Bedard","CHI","F","F","138","sweinste","20","14,700,000","BID","65.73","99%","-1%","64","0","30","41","101","42","210","21","30","23","0.29","-260"
"*0045k*","Evgeni Malkin","PIT","F","F","139","TommyG10","39","1,000,000","BID","65.67","86%","-1%","54","0","18","41","77","61","144","22","24","17","0.33","-6"
"*03rfl*","Anthony Cirelli","TBL","F","F","140","Wags8210","28","1,000,000","BID","65.64","64%","-2%","68","0","23","29","75","46","121","8","47","43","0.50","233"
"*04amg*","Alexis Lafreniere","NYR","F","F","141","HeatDady","24","2,700,000","BID","65.33","74%","-3%","78","0","22","30","74","20","158","13","84","42","0.53","127"
"*05r3d*","Josh Doan","BUF","F","F","142","nbracken","24","1,000,000","FA","65.1","65%","-4%","77","0","23","24","70","23","163","17","76","30","0.73","65"
"*05tv0*","Jackson Blake","CAR","F","F","143","mertin","22","1,000,000","FA","65.01","51%","-1%","77","0","22","26","70","40","165","10","13","31","0.33","449"
"*01zvp*","Bryan Rust","PIT","F","F","144","Wags8210","33","1,200,000","BID","64.69","91%","-1%","70","0","28","36","92","26","181","26","33","70","0.17","-64"
"*02wy5*","Nikita Zadorov","BOS","D","D","145","nebsnave","30","2,000,000","BID","64.48","45%","-1%","77","20","2","18","22","148","103","0","189","100","0.37","-85"
"*05ltt*","Alex Laferriere","LAK","F","F","146","mcianfra","24","1,700,000","BID","64.48","57%","0%","76","0","19","19","57","16","191","6","234","48","0.24","135"
