"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*05ltj*","Brock Faber","MIN","D","D","","76","PuckLuck","24","6,500,000","BID","80.59","99%","0%","82","49","14","35","63","36","167","13","38","146","0","0"
"*004cq*","Alex Ovechkin","WSH","F","F","","77","M.M","41","4,400,000","BID","80.49","96%","0%","82","0","35","32","102","25","252","21","137","17","0","0"
"*02nq3*","Shayne Gostisbehere","CAR","D","D","","78","SPG","33","3,700,000","BID","80.07","99%","0%","77","52","13","39","65","35","154","25","40","85","0","0"
"*01c12*","John Tavares","TOR","F","F","","79","SPG","36","3,800,000","BID","79.46","98%","0%","83","0","33","40","106","32","207","21","85","30","0","0"
"*05gvq*","Seth Jarvis","CAR","F","F","","80","BULLIES","24","5,300,000","BID","79.45","97%","0%","74","0","33","35","101","20","222","27","89","34","0","0"
"*02un5*","Sam Reinhart","FLA","F","F","","81","nebsnave","30","10,700,000","BID","79.41","100%","0%","70","0","35","35","105","15","184","33","69","47","0","0"
"*01c13*","Victor Hedman","TBL","D","D","","82","BHHC","35","5,900,000","BID","79.34","96%","0%","77","52","7","45","59","37","141","20","47","109","0","0"
"*02un7*","Aleksander Barkov","FLA","F","F","","83","PuckLuck","31","4,300,000","BID","79.27","98%","0%","74","0","19","49","87","26","159","33","101","59","0","0"
"*04o0h*","Dylan Guenther","UTA","F","F","","85","Wags8210","23","5,900,000","BID","78.86","100%","0%","77","0","37","33","107","27","230","24","62","30","0","0"
"*0457f*","Nico Hischier","NJD","F","F","","86","mcianfra","27","6,400,000","BID","78.74","98%","0%","82","0","30","39","99","27","209","24","56","61","0","0"
"*03161*","Darnell Nurse","SJS","D","D","","88","mertin","31","3,300,000","BID","78.44","71%","-2%","78","25","7","18","32","93","163","2","139","156","0","0"
"*04a9v*","Morgan Geekie","BOS","F","F","","89","mcianfra","28","2,800,000","BID","78.43","98%","0%","83","0","37","29","103","24","176","21","117","36","0","0"
"*02nok*","Tomas Hertl","VGK","F","F","","92","mertin","32","3,500,000","BID","78.31","86%","-1%","80","0","26","33","85","35","196","24","110","48","0","0"
"*02aez*","J.T. Miller","NYR","F","F","","93","ROO","33","7,500,000","BID","78.27","94%","0%","72","0","20","42","82","40","152","25","142","41","0","0"
"*03jvu*","Mitch Marner","VGK","F","F","","94","nebsnave","29","11,400,000","BID","78.25","99%","0%","82","0","26","60","112","23","170","27","32","47","0","0"
"*03bfj*","Artemi Panarin","LAK","F","F","","95","TommyG10","34","7,000,000","BID","78.17","97%","0%","81","0","33","58","124","19","240","25","13","16","0","0"
"*03rf8*","Vince Dunn","SEA","D","D","","97","nebsnave","29","2,700,000","BID","77.85","92%","0%","78","45","11","34","56","55","171","19","29","85","0","0"
"*05rjd*","Cutter Gauthier","ANA","F","F","","98","M.M","22","2,900,000","BID","77.7","99%","0%","79","0","39","29","107","28","277","17","66","27","0","0"
"*02dq3*","Jacob Trouba","SJS","D","D","","100","mcianfra","32","1,500,000","BID","77.32","76%","-1%","82","32","8","24","40","41","159","2","155","165","0","0"
"*06hcw*","Beckett Sennecke","ANA","F","F","","101","btsay45","20","1,500,000","ELC1","77.28","98%","0%","84","0","24","38","86","64","202","14","99","25","0","0"
"*04bdb*","Jack Hughes","NJD","F","F","","102","CGN","25","11,500,000","BID","77.23","100%","0%","67","0","30","54","114","13","257","27","5","34","0","0"
"*01zvp*","Bryan Rust","PIT","F","F","","103","Wags8210","34","2,340,000","BID","77.02","92%","0%","73","0","31","36","98","26","191","24","41","68","0","0"
