"ID","Player","Team","Position","Prim Pos","Rookie","RkOv","Status","Age","Salary","Contract","Score","Ros","+/-","GP","Pt-D","G","A","2G+A","PIM","SOG","STP","Hit","Blk","Tk","Cor"
"*04qy5*","Kirill Marchenko","CBJ","F","F","","67","TommyG10","26","8,300,000","BID","76.81","99%","0%","76","0","27","40","94","32","218","24","61","40","45","120"
"*02uws*","Mathew Barzal","NYI","F","F","","68","nebsnave","29","2,600,000","BID","76.59","89%","-1%","81","0","19","53","91","61","184","20","29","50","42","159"
"*04znw*","Brandt Clarke","LAK","D","D","","70","nbracken","23","6,000,000","RFA1","76.22","98%","0%","82","40","8","32","48","63","159","13","31","185","26","261"
"*059e0*","Jake Sanderson","OTT","D","D","","71","nbracken","24","10,000,000","BID","76.21","100%","0%","67","54","14","40","68","8","147","22","29","128","31","218"
"*042vx*","Filip Hronek","VAN","D","D","","72","Wags8210","28","2,700,000","BID","76.16","93%","+1%","82","49","8","41","57","33","137","23","133","100","34","-21"
"*04kyh*","Brady Tkachuk","FLA","F","F","","73","nebsnave","27","13,600,000","BID","75.99","100%","0%","60","0","22","37","81","71","221","21","162","19","14","241"
"*00qru*","Steven Stamkos","NSH","F","F","","74","M.M","36","3,500,000","BID","75.9","94%","0%","82","0","42","24","108","58","206","26","89","36","24","16"
"*05ltj*","Brock Faber","MIN","D","D","","75","PuckLuck","24","6,500,000","BID","75.75","99%","0%","80","51","15","36","66","39","173","13","33","148","36","-6"
"*05tqt*","Wyatt Johnston","DAL","F","F","","77","TommyG10","23","9,100,000","BID","75.23","100%","0%","82","0","45","41","131","32","206","42","56","55","23","-187"
"*039cg*","Sam Bennett","FLA","F","F","","78","nbracken","30","6,600,000","BID","75.1","85%","0%","76","0","26","32","84","82","201","14","115","32","25","165"
"*0457f*","Nico Hischier","NJD","F","F","","80","mcianfra","27","6,400,000","BID","74.66","98%","0%","82","0","28","38","94","29","211","24","58","62","27","232"
